time;V(/BIT_0);V(/BIT_1);V(/BIT_2);V(/Shaped_Out);
2.46442e-06;0;0;0;0.0942933;
2.47442e-06;0;0;0;0.0933544;
2.48442e-06;0;0;0;0.0924248;
2.49442e-06;0;0;0;0.0915045;
2.50442e-06;0;0;0;0.0905933;
2.51442e-06;0;0;0;0.0896912;
2.52442e-06;0;0;0;0.0887981;
2.53442e-06;0;0;0;0.0879138;
2.54442e-06;0;0;0;0.0870384;
2.55442e-06;0;0;0;0.0861717;
2.56442e-06;0;0;0;0.0853136;
2.57442e-06;0;0;0;0.0844641;
2.58442e-06;0;0;0;0.083623;
2.59442e-06;0;0;0;0.0827903;
2.60442e-06;0;0;0;0.0819659;
2.61442e-06;0;0;0;0.0811497;
2.62442e-06;0;0;0;0.0803417;
2.63442e-06;0;0;0;0.0795416;
2.64442e-06;0;0;0;0.0787496;
2.65442e-06;0;0;0;0.0779654;
2.66442e-06;0;0;0;0.077189;
2.67442e-06;0;0;0;0.0764204;
2.68442e-06;0;0;0;0.0756594;
2.69442e-06;0;0;0;0.074906;
2.70442e-06;0;0;0;0.0741601;
2.71442e-06;0;0;0;0.0734216;
2.72442e-06;0;0;0;0.0726905;
2.73442e-06;0;0;0;0.0719667;
2.74442e-06;0;0;0;0.07125;
2.75442e-06;0;0;0;0.0705405;
2.76442e-06;0;0;0;0.0698381;
2.77442e-06;0;0;0;0.0691426;
2.78442e-06;0;0;0;0.0684541;
2.79442e-06;0;0;0;0.0677725;
2.80442e-06;0;0;0;0.0670976;
2.81442e-06;0;0;0;0.0664294;
2.82442e-06;0;0;0;0.0657679;
2.83442e-06;0;0;0;0.065113;
2.84442e-06;0;0;0;0.0644646;
2.85442e-06;0;0;0;0.0638227;
2.86442e-06;0;0;0;0.0631871;
2.87442e-06;0;0;0;0.0625579;
2.88442e-06;0;0;0;0.0619349;
2.89442e-06;0;0;0;0.0613182;
2.90442e-06;0;0;0;0.0607076;
2.91442e-06;0;0;0;0.0601031;
2.92442e-06;0;0;0;0.0595045;
2.93442e-06;0;0;0;0.058912;
2.94442e-06;0;0;0;0.0583253;
2.95442e-06;0;0;0;0.0577445;
2.96442e-06;0;0;0;0.0571695;
2.97442e-06;0;0;0;0.0566002;
2.98442e-06;0;0;0;0.0560366;
2.99442e-06;0;0;0;0.0554785;
3.00442e-06;0;0;0;0.0549261;
3.01442e-06;0;0;0;0.0543791;
3.02442e-06;0;0;0;0.0538376;
3.03442e-06;0;0;0;0.0533014;
3.04442e-06;0;0;0;0.0527707;
3.05442e-06;0;0;0;0.0522452;
3.06442e-06;0;0;0;0.0517249;
3.07442e-06;0;0;0;0.0512098;
3.08442e-06;0;0;0;0.0506998;
3.09442e-06;0;0;0;0.0501949;
3.10442e-06;0;0;0;0.0496951;
3.11442e-06;0;0;0;0.0492002;
3.12442e-06;0;0;0;0.0487102;
3.13442e-06;0;0;0;0.0482252;
3.14442e-06;0;0;0;0.0477449;
3.15442e-06;0;0;0;0.0472695;
3.16442e-06;0;0;0;0.0467987;
3.17442e-06;0;0;0;0.0463327;
3.18442e-06;0;0;0;0.0458713;
3.19442e-06;0;0;0;0.0454145;
3.20442e-06;0;0;0;0.0449622;
3.21442e-06;0;0;0;0.0445145;
3.22442e-06;0;0;0;0.0440712;
3.23442e-06;0;0;0;0.0436323;
3.24442e-06;0;0;0;0.0431978;
3.25442e-06;0;0;0;0.0427676;
3.26442e-06;0;0;0;0.0423417;
3.27442e-06;0;0;0;0.04192;
3.28442e-06;0;0;0;0.0415025;
3.29442e-06;0;0;0;0.0410892;
3.30442e-06;0;0;0;0.04068;
3.31442e-06;0;0;0;0.0402749;
3.32442e-06;0;0;0;0.0398738;
3.33442e-06;0;0;0;0.0394767;
3.34442e-06;0;0;0;0.0390836;
3.35442e-06;0;0;0;0.0386944;
3.36442e-06;0;0;0;0.038309;
3.37442e-06;0;0;0;0.0379275;
3.38442e-06;0;0;0;0.0375498;
3.39442e-06;0;0;0;0.0371758;
3.40442e-06;0;0;0;0.0368056;
3.41442e-06;0;0;0;0.0364391;
3.42442e-06;0;0;0;0.0360762;
3.43442e-06;0;0;0;0.0357169;
3.44442e-06;0;0;0;0.0353612;
3.45442e-06;0;0;0;0.035009;
3.46442e-06;0;0;0;0.0346604;
3.47442e-06;0;0;0;0.0343152;
3.48442e-06;0;0;0;0.0339735;
3.49442e-06;0;0;0;0.0336351;
3.50442e-06;0;0;0;0.0333001;
3.51442e-06;0;0;0;0.0329685;
3.52442e-06;0;0;0;0.0326402;
3.53442e-06;0;0;0;0.0323151;
3.54442e-06;0;0;0;0.0319933;
3.55442e-06;0;0;0;0.0316746;
3.56442e-06;0;0;0;0.0313592;
3.57442e-06;0;0;0;0.0310469;
3.58442e-06;0;0;0;0.0307377;
3.59442e-06;0;0;0;0.0304315;
3.60442e-06;0;0;0;0.0301285;
3.61442e-06;0;0;0;0.0298284;
3.62442e-06;0;0;0;0.0295313;
3.63442e-06;0;0;0;0.0292372;
3.64442e-06;0;0;0;0.028946;
3.65442e-06;0;0;0;0.0286577;
3.66442e-06;0;0;0;0.0283723;
3.67442e-06;0;0;0;0.0280898;
3.68442e-06;0;0;0;0.02781;
3.69442e-06;0;0;0;0.027533;
3.70442e-06;0;0;0;0.0272588;
3.71442e-06;0;0;0;0.0269873;
3.72442e-06;0;0;0;0.0267185;
3.73442e-06;0;0;0;0.0264524;
3.74442e-06;0;0;0;0.026189;
3.75442e-06;0;0;0;0.0259281;
3.76442e-06;0;0;0;0.0256699;
3.77442e-06;0;0;0;0.0254142;
3.78442e-06;0;0;0;0.0251611;
3.79442e-06;0;0;0;0.0249105;
3.80442e-06;0;0;0;0.0246624;
3.81442e-06;0;0;0;0.0244168;
3.82442e-06;0;0;0;0.0241736;
3.83442e-06;0;0;0;0.0239328;
3.84442e-06;0;0;0;0.0236945;
3.85442e-06;0;0;0;0.0234585;
3.86442e-06;0;0;0;0.0232248;
3.87442e-06;0;0;0;0.0229935;
3.88442e-06;0;0;0;0.0227645;
3.89442e-06;0;0;0;0.0225377;
3.90442e-06;0;0;0;0.0223133;
3.91442e-06;0;0;0;0.022091;
3.92442e-06;0;0;0;0.021871;
3.93442e-06;0;0;0;0.0216532;
3.94442e-06;0;0;0;0.0214375;
3.95442e-06;0;0;0;0.021224;
3.96442e-06;0;0;0;0.0210126;
3.97442e-06;0;0;0;0.0208033;
3.98442e-06;0;0;0;0.0205961;
3.99442e-06;0;0;0;0.0203909;
4.00442e-06;0;0;0;0.0201878;
4.01442e-06;0;0;0;0.0199867;
4.02442e-06;0;0;0;0.0197877;
4.03442e-06;0;0;0;0.0195906;
4.04442e-06;0;0;0;0.0193954;
4.05442e-06;0;0;0;0.0192022;
4.06442e-06;0;0;0;0.019011;
4.07442e-06;0;0;0;0.0188216;
4.08442e-06;0;0;0;0.0186341;
4.09442e-06;0;0;0;0.0184485;
4.10442e-06;0;0;0;0.0182647;
4.11442e-06;0;0;0;0.0180828;
4.12442e-06;0;0;0;0.0179027;
4.13442e-06;0;0;0;0.0177244;
4.14442e-06;0;0;0;0.0175478;
4.15442e-06;0;0;0;0.017373;
4.16442e-06;0;0;0;0.0172;
4.17442e-06;0;0;0;0.0170286;
4.18442e-06;0;0;0;0.016859;
4.19442e-06;0;0;0;0.0166911;
4.20442e-06;0;0;0;0.0165248;
4.21442e-06;0;0;0;0.0163602;
4.22442e-06;0;0;0;0.0161972;
4.23442e-06;0;0;0;0.0160359;
4.24442e-06;0;0;0;0.0158761;
4.25442e-06;0;0;0;0.015718;
4.26442e-06;0;0;0;0.0155614;
